scientificName,decimalLatitude,decimalLongitude,date_year,depth,country,basisOfRecord,datasetName
Orcinus orca,51.7166,-176.409867,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.8,-122.0,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-67.4,-67.81,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-59.317305,-50.904193,2024.0,,,HumanObservation,Happywhale - Killer whale in South Atlantic Ocean
Orcinus orca,60.129367,-1.203367,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,26.660212,-110.933268,2018.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,69.0,-54.0,1969.0,,,Occurrence,
Orcinus orca,-41.1,148.7,2013.0,498.1666667,,HumanObservation,
Orcinus orca,59.510636,-151.6539,2017.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,69.25,15.27,1997.0,,,HumanObservation,
Orcinus orca,60.596,-0.993333,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-64.67567,-62.816177,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,36.5333,-122.9933,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.8,4.42,1987.0,,,HumanObservation,
Orcinus orca,72.62,19.53,2010.0,,,HumanObservation,
Orcinus orca,46.9791,-124.2943,2018.0,,,HumanObservation,NWTRC Small Vessel-based Surveys in 2016 and 2018
Orcinus orca,-54.6301,158.9056,1991.0,,Australia,HumanObservation,
Orcinus orca,33.737192,-118.468564,2012.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,68.4,16.23,2006.0,,,HumanObservation,
Orcinus orca,57.542267,-133.56895,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.415639,-134.892669,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.468437,-123.096488,2006.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.7,-149.6,2019.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,66.32,3.98,2002.0,,,HumanObservation,
Orcinus orca,56.839833,-6.12,2001.0,,,HumanObservation,Hebridean Dolphin and Whale Trust killer whale sightings 1990-2006
Orcinus orca,48.810212,-126.943416,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,51.410333,-9.512667,1968.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1930 to 1970
Orcinus orca,57.27055,-133.650748,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-39.0429,146.3201,2010.0,,Australia,HumanObservation,
Orcinus orca,59.034667,-2.9995,2010.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.12,2.85,2006.0,,,HumanObservation,
Orcinus orca,63.457436,-20.239765,2025.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,54.215833,-5.828333,2008.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,50.049029,-125.255108,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,56.804476,-132.873356,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,51.410333,-9.512667,1989.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.295967,-3.27625,2023.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,47.317983,-122.522994,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.671667,-62.994167,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-37.8,77.5,2015.0,167.3611111,,HumanObservation,
Orcinus orca,60.9403,1.6326,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,55.75,-5.35,1978.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,65.5,4.17,1988.0,,,HumanObservation,
Orcinus orca,61.218,1.536,2018.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,58.370662,-134.796382,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,57.771167,-3.4615,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
